-------------------------------- 
Annual Mean Surface Temperature Anomaly Observations 
Column #1 = Global Surface, units = deg C 
Column #2 = Arctic Surface Temperature (70-90 N), units = deg C 
Source: GISTEMP, Hansen et al. 2010; anomaly calculated with respect to 1951-1980 base period 
Data were downloaded April 2019 from http://www.esrl.noaa.gov/psd/data/gridded/data.gistemp.html 
Data munged by Jennifer.E.Kay@colorado.edu using GISTEMP_timeseries_through2021.ncl, last update March 2022 
-------------------------------- 
            1880,           -0.18,           -0.99
            1881,           -0.11,           -1.10
            1882,           -0.14,           -1.78
            1883,           -0.20,           -0.16
            1884,           -0.31,           -1.07
            1885,           -0.36,           -1.93
            1886,           -0.33,           -2.24
            1887,           -0.37,           -2.06
            1888,           -0.19,           -1.41
            1889,           -0.11,           -0.86
            1890,           -0.36,           -1.11
            1891,           -0.22,           -1.29
            1892,           -0.30,           -1.35
            1893,           -0.32,           -0.64
            1894,           -0.31,           -1.27
            1895,           -0.23,           -0.80
            1896,           -0.14,           -1.02
            1897,           -0.12,           -0.60
            1898,           -0.28,           -1.49
            1899,           -0.18,           -1.42
            1900,           -0.09,           -0.75
            1901,           -0.16,           -0.78
            1902,           -0.29,           -1.52
            1903,           -0.38,           -0.42
            1904,           -0.46,           -0.23
            1905,           -0.26,           -0.15
            1906,           -0.22,           -0.27
            1907,           -0.40,           -0.58
            1908,           -0.42,           -0.29
            1909,           -0.48,           -0.77
            1910,           -0.43,           -0.63
            1911,           -0.44,           -0.40
            1912,           -0.36,           -0.66
            1913,           -0.35,           -0.78
            1914,           -0.16,           -0.49
            1915,           -0.15,           -0.96
            1916,           -0.36,           -0.55
            1917,           -0.48,           -1.33
            1918,           -0.31,           -1.20
            1919,           -0.29,           -0.88
            1920,           -0.28,           -0.08
            1921,           -0.19,           -0.13
            1922,           -0.29,           -0.35
            1923,           -0.27,            0.24
            1924,           -0.27,            0.28
            1925,           -0.22,           -0.12
            1926,           -0.10,            0.44
            1927,           -0.21,            0.06
            1928,           -0.20,            0.83
            1929,           -0.36,            0.30
            1930,           -0.15,            0.76
            1931,           -0.08,            0.72
            1932,           -0.15,            0.65
            1933,           -0.28,            0.10
            1934,           -0.12,            1.01
            1935,           -0.19,            0.45
            1936,           -0.13,            0.60
            1937,           -0.01,            1.45
            1938,            0.00,            1.84
            1939,           -0.01,            0.62
            1940,            0.14,            1.14
            1941,            0.20,            0.00
            1942,            0.07,            0.94
            1943,            0.10,            1.49
            1944,            0.20,            1.21
            1945,            0.10,            0.87
            1946,           -0.07,            0.07
            1947,           -0.01,            1.34
            1948,           -0.10,           -0.08
            1949,           -0.11,            0.21
            1950,           -0.17,            0.33
            1951,           -0.06,            0.06
            1952,            0.01,            0.49
            1953,            0.09,            1.12
            1954,           -0.13,            1.06
            1955,           -0.14,           -0.16
            1956,           -0.18,            0.29
            1957,            0.05,            0.08
            1958,            0.06,           -0.09
            1959,            0.03,            0.56
            1960,           -0.03,            0.37
            1961,            0.06,           -0.21
            1962,            0.03,            0.32
            1963,            0.06,           -0.44
            1964,           -0.20,           -0.73
            1965,           -0.11,           -0.17
            1966,           -0.06,           -0.78
            1967,           -0.02,            0.26
            1968,           -0.08,           -0.50
            1969,            0.05,            0.06
            1970,            0.02,           -0.28
            1971,           -0.09,           -0.05
            1972,           -0.00,           -0.15
            1973,            0.17,           -0.06
            1974,           -0.06,           -0.12
            1975,           -0.02,           -0.08
            1976,           -0.11,            0.01
            1977,            0.18,            0.02
            1978,            0.07,           -0.29
            1979,            0.16,           -0.75
            1980,            0.26,            0.15
            1981,            0.33,            0.96
            1982,            0.13,           -0.47
            1983,            0.31,            0.07
            1984,            0.16,            0.55
            1985,            0.11,            0.48
            1986,            0.17,           -0.15
            1987,            0.31,           -0.51
            1988,            0.38,            0.37
            1989,            0.27,            0.12
            1990,            0.44,            0.65
            1991,            0.41,            0.67
            1992,            0.22,           -0.28
            1993,            0.23,            0.46
            1994,            0.32,            0.35
            1995,            0.44,            1.26
            1996,            0.34,            0.86
            1997,            0.46,            0.62
            1998,            0.61,            0.95
            1999,            0.37,            0.44
            2000,            0.40,            0.92
            2001,            0.54,            1.07
            2002,            0.63,            1.28
            2003,            0.62,            1.35
            2004,            0.53,            0.33
            2005,            0.67,            2.07
            2006,            0.64,            2.03
            2007,            0.67,            2.27
            2008,            0.54,            1.69
            2009,            0.66,            1.67
            2010,            0.72,            2.46
            2011,            0.61,            2.68
            2012,            0.64,            2.74
            2013,            0.68,            1.64
            2014,            0.74,            2.20
            2015,            0.89,            2.18
            2016,            1.02,            3.66
            2017,            0.92,            2.70
            2018,            0.85,            2.40
            2019,            0.97,            2.84
            2020,            1.02,            3.15
            2021,            0.85,            2.42
